COMUNA,grupo,vacunados,denominador,cobertura_pct
Alhué,adultos_60_mas,1268,1483,85.5
Alhué,cronicos_11_59,1482,1217,121.77
Alhué,cuidadores_adulto_mayor_eleam,79,32,246.88
Alhué,embarazadas,53,109,48.62
Alhué,estrategia_capullo,85,24,354.17
Alhué,ninos_6_10_anios,572,483,118.43
Alhué,ninos_6m_5basico,648,553,117.18
Alhué,otras_prioridades,217,196,110.71
Alhué,salud_privado,7,6,116.67
Alhué,salud_publico,145,139,104.32
Alhué,trab_avicolas_cerdos,6,6,100.0
Alhué,trab_educacion,132,77,171.43
Buin,adultos_60_mas,12116,17436,69.49
Buin,cronicos_11_59,9915,8825,112.35
Buin,cuidadores_adulto_mayor_eleam,371,331,112.08
Buin,embarazadas,834,1291,64.6
Buin,estrategia_capullo,219,408,53.68
Buin,ninos_6_10_anios,7066,8238,85.77
Buin,ninos_6m_5basico,8331,9179,90.76
Buin,otras_prioridades,2016,1473,136.86
Buin,salud_privado,518,450,115.11
Buin,salud_publico,1337,1360,98.31
Buin,trab_avicolas_cerdos,233,289,80.62
Buin,trab_educacion,1627,1366,119.11
Calera de Tango,adultos_60_mas,3924,5014,78.26
Calera de Tango,cronicos_11_59,2266,1659,136.59
Calera de Tango,cuidadores_adulto_mayor_eleam,158,182,86.81
Calera de Tango,embarazadas,145,187,77.54
Calera de Tango,estrategia_capullo,56,75,74.67
Calera de Tango,ninos_6_10_anios,1824,2018,90.39
Calera de Tango,ninos_6m_5basico,1480,2037,72.66
Calera de Tango,otras_prioridades,418,315,132.7
Calera de Tango,salud_privado,67,60,111.67
Calera de Tango,salud_publico,262,189,138.62
Calera de Tango,trab_avicolas_cerdos,28,45,62.22
Calera de Tango,trab_educacion,401,415,96.63
Cerrillos,adultos_60_mas,11487,16460,69.79
Cerrillos,cronicos_11_59,9702,6916,140.28
Cerrillos,cuidadores_adulto_mayor_eleam,307,146,210.27
Cerrillos,embarazadas,666,777,85.71
Cerrillos,estrategia_capullo,118,192,61.46
Cerrillos,ninos_6_10_anios,4053,5624,72.07
Cerrillos,ninos_6m_5basico,4640,6342,73.16
Cerrillos,otras_prioridades,5669,743,762.99
Cerrillos,salud_privado,123,101,121.78
Cerrillos,salud_publico,776,408,190.2
Cerrillos,trab_avicolas_cerdos,196,201,97.51
Cerrillos,trab_educacion,940,988,95.14
Cerro Navia,adultos_60_mas,17392,27484,63.28
Cerro Navia,cronicos_11_59,22127,12895,171.59
Cerro Navia,cuidadores_adulto_mayor_eleam,353,319,110.66
Cerro Navia,embarazadas,791,1320,59.92
Cerro Navia,estrategia_capullo,354,408,86.76
Cerro Navia,ninos_6_10_anios,6100,8394,72.67
Cerro Navia,ninos_6m_5basico,6533,9444,69.18
Cerro Navia,otras_prioridades,1272,1420,89.58
Cerro Navia,salud_privado,94,85,110.59
Cerro Navia,salud_publico,956,774,123.51
Cerro Navia,trab_avicolas_cerdos,186,74,251.35
Cerro Navia,trab_educacion,1109,1398,79.33
Colina,adultos_60_mas,13846,21081,65.68
Colina,cronicos_11_59,11794,9425,125.14
Colina,cuidadores_adulto_mayor_eleam,454,162,280.25
Colina,embarazadas,1434,2018,71.06
Colina,estrategia_capullo,98,639,15.34
Colina,ninos_6_10_anios,12927,16664,77.57
Colina,ninos_6m_5basico,13953,18843,74.05
Colina,otras_prioridades,2786,1516,183.77
Colina,salud_privado,1122,796,140.95
Colina,salud_publico,1147,975,117.64
Colina,trab_avicolas_cerdos,117,191,61.26
Colina,trab_educacion,2375,2973,79.89
Conchalí,adultos_60_mas,18797,29139,64.51
Conchalí,cronicos_11_59,9099,8019,113.47
Conchalí,cuidadores_adulto_mayor_eleam,1118,716,156.15
Conchalí,embarazadas,725,1054,68.79
Conchalí,estrategia_capullo,71,351,20.23
Conchalí,ninos_6_10_anios,6821,7826,87.16
Conchalí,ninos_6m_5basico,6555,8740,75.0
Conchalí,otras_prioridades,1450,2031,71.39
Conchalí,salud_privado,247,183,134.97
Conchalí,salud_publico,1233,1197,103.01
Conchalí,trab_avicolas_cerdos,8,19,42.11
Conchalí,trab_educacion,1281,1456,87.98
Curacaví,adultos_60_mas,5126,7480,68.53
Curacaví,cronicos_11_59,3344,2018,165.71
Curacaví,cuidadores_adulto_mayor_eleam,243,120,202.5
Curacaví,embarazadas,209,308,67.86
Curacaví,estrategia_capullo,81,93,87.1
Curacaví,ninos_6_10_anios,2312,2455,94.18
Curacaví,ninos_6m_5basico,2141,2726,78.54
Curacaví,otras_prioridades,578,467,123.77
Curacaví,salud_privado,65,83,78.31
Curacaví,salud_publico,371,300,123.67
Curacaví,trab_avicolas_cerdos,102,97,105.15
Curacaví,trab_educacion,478,608,78.62
El Bosque,adultos_60_mas,23786,34087,69.78
El Bosque,cronicos_11_59,20195,15638,129.14
El Bosque,cuidadores_adulto_mayor_eleam,857,285,300.7
El Bosque,embarazadas,1157,1313,88.12
El Bosque,estrategia_capullo,371,435,85.29
El Bosque,ninos_6_10_anios,11766,10946,107.49
El Bosque,ninos_6m_5basico,9792,11558,84.72
El Bosque,otras_prioridades,7207,3299,218.46
El Bosque,salud_privado,408,214,190.65
El Bosque,salud_publico,2213,1921,115.2
El Bosque,trab_avicolas_cerdos,46,8,575.0
El Bosque,trab_educacion,2492,2215,112.51
El Monte,adultos_60_mas,4768,7165,66.55
El Monte,cronicos_11_59,3992,3210,124.36
El Monte,cuidadores_adulto_mayor_eleam,79,47,168.09
El Monte,embarazadas,247,302,81.79
El Monte,estrategia_capullo,114,117,97.44
El Monte,ninos_6_10_anios,2444,2924,83.58
El Monte,ninos_6m_5basico,1989,3413,58.28
El Monte,otras_prioridades,564,560,100.71
El Monte,salud_privado,17,16,106.25
El Monte,salud_publico,402,465,86.45
El Monte,trab_avicolas_cerdos,759,664,114.31
El Monte,trab_educacion,660,736,89.67
Estación Central,adultos_60_mas,15976,40886,39.07
Estación Central,cronicos_11_59,16662,12414,134.22
Estación Central,cuidadores_adulto_mayor_eleam,506,475,106.53
Estación Central,embarazadas,1217,2044,59.54
Estación Central,estrategia_capullo,547,555,98.56
Estación Central,ninos_6_10_anios,7729,11256,68.67
Estación Central,ninos_6m_5basico,8786,13467,65.24
Estación Central,otras_prioridades,4880,1393,350.32
Estación Central,salud_privado,4124,4220,97.73
Estación Central,salud_publico,1648,1156,142.56
Estación Central,trab_avicolas_cerdos,25,7,357.14
Estación Central,trab_educacion,1336,1582,84.45
Huechuraba,adultos_60_mas,12301,17732,69.37
Huechuraba,cronicos_11_59,13925,12222,113.93
Huechuraba,cuidadores_adulto_mayor_eleam,337,412,81.8
Huechuraba,embarazadas,785,797,98.49
Huechuraba,estrategia_capullo,435,324,134.26
Huechuraba,ninos_6_10_anios,5816,8832,65.85
Huechuraba,ninos_6m_5basico,5571,9203,60.53
Huechuraba,otras_prioridades,1345,2423,55.51
Huechuraba,salud_privado,755,290,260.34
Huechuraba,salud_publico,872,917,95.09
Huechuraba,trab_avicolas_cerdos,77,35,220.0
Huechuraba,trab_educacion,1364,1304,104.6
Independencia,adultos_60_mas,14411,26233,54.93
Independencia,cronicos_11_59,8705,6431,135.36
Independencia,cuidadores_adulto_mayor_eleam,1420,1023,138.81
Independencia,embarazadas,1001,1208,82.86
Independencia,estrategia_capullo,121,333,36.34
Independencia,ninos_6_10_anios,6917,7556,91.54
Independencia,ninos_6m_5basico,7088,9917,71.47
Independencia,otras_prioridades,2705,3004,90.05
Independencia,salud_privado,4456,4416,100.91
Independencia,salud_publico,7401,6804,108.77
Independencia,trab_avicolas_cerdos,10,23,43.48
Independencia,trab_educacion,1280,1140,112.28
Isla de Maipo,adultos_60_mas,5471,7230,75.67
Isla de Maipo,cronicos_11_59,3652,2518,145.04
Isla de Maipo,cuidadores_adulto_mayor_eleam,199,148,134.46
Isla de Maipo,embarazadas,273,355,76.9
Isla de Maipo,estrategia_capullo,34,78,43.59
Isla de Maipo,ninos_6_10_anios,2398,2934,81.73
Isla de Maipo,ninos_6m_5basico,2587,3182,81.3
Isla de Maipo,otras_prioridades,3171,1640,193.35
Isla de Maipo,salud_privado,48,38,126.32
Isla de Maipo,salud_publico,435,387,112.4
Isla de Maipo,trab_avicolas_cerdos,110,147,74.83
Isla de Maipo,trab_educacion,658,631,104.28
La Cisterna,adultos_60_mas,16531,22530,73.37
La Cisterna,cronicos_11_59,16469,20403,80.72
La Cisterna,cuidadores_adulto_mayor_eleam,954,324,294.44
La Cisterna,embarazadas,559,927,60.3
La Cisterna,estrategia_capullo,560,294,190.48
La Cisterna,ninos_6_10_anios,6780,5639,120.23
La Cisterna,ninos_6m_5basico,5219,6149,84.88
La Cisterna,otras_prioridades,2412,5686,42.42
La Cisterna,salud_privado,513,398,128.89
La Cisterna,salud_publico,828,626,132.27
La Cisterna,trab_avicolas_cerdos,354,350,101.14
La Cisterna,trab_educacion,1255,1239,101.29
La Florida,adultos_60_mas,61196,86582,70.68
La Florida,cronicos_11_59,27766,17017,163.17
La Florida,cuidadores_adulto_mayor_eleam,1328,1407,94.39
La Florida,embarazadas,2303,3171,72.63
La Florida,estrategia_capullo,158,981,16.11
La Florida,ninos_6_10_anios,21322,22990,92.74
La Florida,ninos_6m_5basico,19990,25093,79.66
La Florida,otras_prioridades,2622,2569,102.06
La Florida,salud_privado,4744,3906,121.45
La Florida,salud_publico,5614,5154,108.93
La Florida,trab_avicolas_cerdos,50,40,125.0
La Florida,trab_educacion,4949,4822,102.63
La Granja,adultos_60_mas,17315,24648,70.25
La Granja,cronicos_11_59,10595,8779,120.69
La Granja,cuidadores_adulto_mayor_eleam,264,172,153.49
La Granja,embarazadas,730,938,77.83
La Granja,estrategia_capullo,298,336,88.69
La Granja,ninos_6_10_anios,7009,7015,99.91
La Granja,ninos_6m_5basico,6882,7972,86.33
La Granja,otras_prioridades,1325,1427,92.85
La Granja,salud_privado,149,161,92.55
La Granja,salud_publico,1169,1165,100.34
La Granja,trab_avicolas_cerdos,22,17,129.41
La Granja,trab_educacion,1608,1520,105.79
La Pintana,adultos_60_mas,17690,30994,57.08
La Pintana,cronicos_11_59,10899,9853,110.62
La Pintana,cuidadores_adulto_mayor_eleam,431,738,58.4
La Pintana,embarazadas,1068,1713,62.35
La Pintana,estrategia_capullo,99,675,14.67
La Pintana,ninos_6_10_anios,10110,13888,72.8
La Pintana,ninos_6m_5basico,9103,15259,59.66
La Pintana,otras_prioridades,2138,1502,142.34
La Pintana,salud_privado,243,230,105.65
La Pintana,salud_publico,1479,1507,98.14
La Pintana,trab_avicolas_cerdos,415,756,54.89
La Pintana,trab_educacion,2603,2745,94.83
La Reina,adultos_60_mas,17462,22793,76.61
La Reina,cronicos_11_59,6715,3909,171.78
La Reina,cuidadores_adulto_mayor_eleam,898,712,126.12
La Reina,embarazadas,319,559,57.07
La Reina,estrategia_capullo,106,207,51.21
La Reina,ninos_6_10_anios,7794,5587,139.5
La Reina,ninos_6m_5basico,5319,5755,92.42
La Reina,otras_prioridades,3461,1450,238.69
La Reina,salud_privado,812,708,114.69
La Reina,salud_publico,2499,3198,78.14
La Reina,trab_avicolas_cerdos,14,9,155.56
La Reina,trab_educacion,1965,1997,98.4
Lampa,adultos_60_mas,8523,14909,57.17
Lampa,cronicos_11_59,8727,5919,147.44
Lampa,cuidadores_adulto_mayor_eleam,342,268,127.61
Lampa,embarazadas,1056,1586,66.58
Lampa,estrategia_capullo,137,564,24.29
Lampa,ninos_6_10_anios,8480,11857,71.52
Lampa,ninos_6m_5basico,8696,13436,64.72
Lampa,otras_prioridades,745,715,104.2
Lampa,salud_privado,203,92,220.65
Lampa,salud_publico,731,686,106.56
Lampa,trab_avicolas_cerdos,82,46,178.26
Lampa,trab_educacion,1751,1574,111.25
Las Condes,adultos_60_mas,50005,81643,61.25
Las Condes,cronicos_11_59,12000,9995,120.06
Las Condes,cuidadores_adulto_mayor_eleam,1930,2397,80.52
Las Condes,embarazadas,1386,2716,51.03
Las Condes,estrategia_capullo,244,663,36.8
Las Condes,ninos_6_10_anios,11936,15678,76.13
Las Condes,ninos_6m_5basico,15911,18781,84.72
Las Condes,otras_prioridades,5155,5055,101.98
Las Condes,salud_privado,11325,10621,106.63
Las Condes,salud_publico,1507,2487,60.6
Las Condes,trab_avicolas_cerdos,19,18,105.56
Las Condes,trab_educacion,3275,3008,108.88
Lo Barnechea,adultos_60_mas,13278,18452,71.96
Lo Barnechea,cronicos_11_59,5191,3546,146.39
Lo Barnechea,cuidadores_adulto_mayor_eleam,677,507,133.53
Lo Barnechea,embarazadas,537,1018,52.75
Lo Barnechea,estrategia_capullo,107,375,28.53
Lo Barnechea,ninos_6_10_anios,7172,10435,68.73
Lo Barnechea,ninos_6m_5basico,7018,9604,73.07
Lo Barnechea,otras_prioridades,862,680,126.76
Lo Barnechea,salud_privado,2759,2187,126.15
Lo Barnechea,salud_publico,673,433,155.43
Lo Barnechea,trab_avicolas_cerdos,15,21,71.43
Lo Barnechea,trab_educacion,2269,1959,115.82
Lo Espejo,adultos_60_mas,14426,19858,72.65
Lo Espejo,cronicos_11_59,9329,6914,134.93
Lo Espejo,cuidadores_adulto_mayor_eleam,408,226,180.53
Lo Espejo,embarazadas,713,838,85.08
Lo Espejo,estrategia_capullo,51,243,20.99
Lo Espejo,ninos_6_10_anios,4347,6221,69.88
Lo Espejo,ninos_6m_5basico,5551,6870,80.8
Lo Espejo,otras_prioridades,2671,1817,147.0
Lo Espejo,salud_privado,143,99,144.44
Lo Espejo,salud_publico,1036,818,126.65
Lo Espejo,trab_avicolas_cerdos,6,12,50.0
Lo Espejo,trab_educacion,1270,1145,110.92
Lo Prado,adultos_60_mas,19553,22624,86.43
Lo Prado,cronicos_11_59,14000,10990,127.39
Lo Prado,cuidadores_adulto_mayor_eleam,1875,687,272.93
Lo Prado,embarazadas,724,746,97.05
Lo Prado,estrategia_capullo,48,207,23.19
Lo Prado,ninos_6_10_anios,5084,5739,88.59
Lo Prado,ninos_6m_5basico,5693,6222,91.5
Lo Prado,otras_prioridades,2230,1361,163.85
Lo Prado,salud_privado,205,132,155.3
Lo Prado,salud_publico,1123,1040,107.98
Lo Prado,trab_avicolas_cerdos,8,3,266.67
Lo Prado,trab_educacion,1069,1142,93.61
Macul,adultos_60_mas,18532,31113,59.56
Macul,cronicos_11_59,11248,7303,154.02
Macul,cuidadores_adulto_mayor_eleam,1162,563,206.39
Macul,embarazadas,602,1021,58.96
Macul,estrategia_capullo,188,282,66.67
Macul,ninos_6_10_anios,5735,6948,82.54
Macul,ninos_6m_5basico,5574,7997,69.7
Macul,otras_prioridades,2607,1471,177.23
Macul,salud_privado,1982,2361,83.95
Macul,salud_publico,1103,996,110.74
Macul,trab_avicolas_cerdos,22,19,115.79
Macul,trab_educacion,1454,1559,93.26
Maipú,adultos_60_mas,63811,98798,64.59
Maipú,cronicos_11_59,44761,34168,131.0
Maipú,cuidadores_adulto_mayor_eleam,763,676,112.87
Maipú,embarazadas,2126,3776,56.3
Maipú,estrategia_capullo,376,1176,31.97
Maipú,ninos_6_10_anios,24648,35617,69.2
Maipú,ninos_6m_5basico,21194,37645,56.3
Maipú,otras_prioridades,5199,5384,96.56
Maipú,salud_privado,1591,1891,84.14
Maipú,salud_publico,6179,5429,113.81
Maipú,trab_avicolas_cerdos,198,39,507.69
Maipú,trab_educacion,4541,4919,92.32
