comuna,campana,denominador
Alhué,ninos_6m_5basico,553
Buin,ninos_6m_5basico,9179
Calera de Tango,ninos_6m_5basico,2037
Cerrillos,ninos_6m_5basico,6342
Cerro Navia,ninos_6m_5basico,9444
Colina,ninos_6m_5basico,18843
Conchalí,ninos_6m_5basico,8740
Curacaví,ninos_6m_5basico,2726
El Bosque,ninos_6m_5basico,11558
El Monte,ninos_6m_5basico,3413
Estación Central,ninos_6m_5basico,13467
Huechuraba,ninos_6m_5basico,9203
Independencia,ninos_6m_5basico,9917
Isla de Maipo,ninos_6m_5basico,3182
La Cisterna,ninos_6m_5basico,6149
La Florida,ninos_6m_5basico,25093
La Granja,ninos_6m_5basico,7972
La Pintana,ninos_6m_5basico,15259
La Reina,ninos_6m_5basico,5755
Lampa,ninos_6m_5basico,13436
Las Condes,ninos_6m_5basico,18781
Lo Barnechea,ninos_6m_5basico,9604
Lo Espejo,ninos_6m_5basico,6870
Lo Prado,ninos_6m_5basico,6222
Macul,ninos_6m_5basico,7997
Maipú,ninos_6m_5basico,37645
María Pinto,ninos_6m_5basico,1087
Melipilla,ninos_6m_5basico,10671
Ñuñoa,ninos_6m_5basico,14995
Padre Hurtado,ninos_6m_5basico,6590
Paine,ninos_6m_5basico,6472
Pedro Aguirre Cerda,ninos_6m_5basico,6401
Peñaflor,ninos_6m_5basico,7998
Peñalolén,ninos_6m_5basico,18031
Pirque,ninos_6m_5basico,2361
Providencia,ninos_6m_5basico,8364
Pudahuel,ninos_6m_5basico,19064
Puente Alto,ninos_6m_5basico,49420
Quilicura,ninos_6m_5basico,20611
Quinta Normal,ninos_6m_5basico,8598
Recoleta,ninos_6m_5basico,12335
Renca,ninos_6m_5basico,12314
San Bernardo,ninos_6m_5basico,27117
San Joaquín,ninos_6m_5basico,6149
San José de Maipo,ninos_6m_5basico,1269
San Miguel,ninos_6m_5basico,8992
San Pedro,ninos_6m_5basico,913
San Ramón,ninos_6m_5basico,5505
Santiago,ninos_6m_5basico,26731
Talagante,ninos_6m_5basico,6397
Tiltil,ninos_6m_5basico,1668
Vitacura,ninos_6m_5basico,6133
Alhué,ninos_6_10_anios,483
Buin,ninos_6_10_anios,8238
Calera de Tango,ninos_6_10_anios,2018
Cerrillos,ninos_6_10_anios,5624
Cerro Navia,ninos_6_10_anios,8394
Colina,ninos_6_10_anios,16664
Conchalí,ninos_6_10_anios,7826
Curacaví,ninos_6_10_anios,2455
El Bosque,ninos_6_10_anios,10946
El Monte,ninos_6_10_anios,2924
Estación Central,ninos_6_10_anios,11256
Huechuraba,ninos_6_10_anios,8832
Independencia,ninos_6_10_anios,7556
Isla de Maipo,ninos_6_10_anios,2934
La Cisterna,ninos_6_10_anios,5639
La Florida,ninos_6_10_anios,22990
La Granja,ninos_6_10_anios,7015
La Pintana,ninos_6_10_anios,13888
La Reina,ninos_6_10_anios,5587
